连同刚才那一碗，他一共吃了三碗。	他连同刚才那一碗一共吃了三碗。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不仅大家伙都省事，你自己还可以少跑两趟嘛。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	唯有做了广泛深入的调查研究，要不然不可能得出让人们信服的结论。
墙头上长出了一丛杂草。	一丛杂草从墙头长出来了。
你能把门打开吗？	你可以把门打开吗？
宁可血战到底，也不放弃每一寸阵地。	即便血战到底，也不放弃每一寸阵地。
中国不首先使用核武器，不管是面临核威胁或者是面临核讹诈。	不管是面临核威胁还是面临核讹诈，中国不首先使用核武器。
门给吹开了。	风吹开了门。
师傅把车修好了。	师傅修好了车。
那么多困难他都一个人克服了。	他一个人克服了那么多困难。
他连一声也不吭。	他没有吭一声。
再棘手的事情他都有办法解决。	无论多麻烦的事他都能解决。
这辆车被水淹过。	水淹过这辆车。
那么好的人你怎么看不上他。	他那么好你怎么看不上。
把窗户开一下吧！	请把窗户打开吧！
有人由于不讲逻辑，因此对别人不合逻辑的言论，不但不能觉察它的荒谬，反而随声附和，人云亦云。	有人由于不讲逻辑，因此对别人不和逻辑的言论，不但不能觉察它的荒谬，反而人云亦云，随声附和。
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	在悬崖峭壁间开辟出一条路来已经不易，更何况是修建寺庙！
在困难面前，或者当个懦弱的逃兵，或者做个勇猛的战士。	在困难面前，或者做个勇猛的战士，或者当个懦弱的逃兵。
他让我们笑疼了肚子。	我们因为他笑疼了肚子。
她在图书馆里从书架上拿了一本书。	在图书馆里她从书架上拿了一本书。
就语言来看，这部作品不像是宋代的。	这部作品就语言来看不像是宋代的。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不但可以帮助人家解一时的燃眉之急，更可以借机先锻炼一下自己。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	除非做了广泛深入的调查研究，才可能得出让人们信服的结论。
把犯人跑了。	犯人跑了。
在桂花林里散步，别提多香了。	在桂花林里散步，好香。
东西全给他吃光了。	东西全叫他吃光了。
他玩起来没个完。	他太爱玩了。
他把这批货卖掉了一大半。	他卖掉了这批货的一大半。
她看花了眼睛。	她把眼睛看花了。
再给你我拿瓶啤酒！	给咱俩再拿瓶啤酒！
我见了一共三个人。	我总共见了三个人。
哪儿去了，刚才？	刚才去哪儿了？
渔民的光景，一年更比一年强。	渔民的光景是越来越好。
大家可能还记得这件事。	这件事有可能被大家还记着。
通货膨胀是一种货币现象，过量的货币追逐有限的商品。	通货膨胀是一种货币现象，换句话说是过量的货币追逐有限的商品。
你就甭说了！	你就不必说了！
这让他没了面子，而且还给他带来了不小的经济损失。	这不但让他没了面子，而且还给他带来了不小的经济损失。
这个计划没有一点问题。	这个计划没问题。
这个房间舒服的多。	这个房间比那个房间舒服多了。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不光是未来做主角的必经之路，更是在北京生存的打工方式之一。
本来他是不愿意告诉我们的。	原本他是不愿意告诉我们的。
我冲着他笑了笑，然后继续唱歌。	我先冲着他笑了笑，然后继续唱歌。
我拿了汪老师一本书。	我把王老师的一本书拿了。
我给了她一只笔。	我拿了一支笔给她。
不死也脱层皮。	即便不死也脱层皮。
花猫逮住了一只耗子。	一只耗子被花猫抓住了。
他一下班就走了。	他一下班就离开了。
我修电脑修了五百块钱。	五百块钱被我拿来修电脑了。
我写信写了一个晚上。	这封信写了我一个晚上。
我们同王教授讨论合作的事。	我们讨论合作的事同王教授。
姐姐比我多吃了不少苦。	我吃的苦比姐姐少。
咱俩谁跟谁呀。	我们不分彼此。
做饭没有什么奥秘。	做饭不难。
那个教练高高的鼻子。	那个高高的鼻子的人是个教练。
这个问题讨论了我们半天。	我们用了半天时间讨论了这个问题。
在下次董事会上，一定得拿出个让大家都满意的新方案出来。	在下次董事会上，一定要拿出让大家都满意的新方案。
任凭风吹浪打，都毫不动摇。	无论风吹浪打，总是毫不动摇。
他买了王教授一本书。	他买了东西。
新的已经卖完了。	新的已经被买完了。
既然情况都了解清楚了，为什么却还要死抓住人家这些小问题不放呢？	既然情况都弄清楚了，为什么却还要死抓住人家这些小问题不放呢？
我曾经帮这位教授整理过稿子。	我帮这位教授整理过稿子。
我们这儿冬天没有武汉冷。	武汉冬天比我们这儿冷。
他花光了钱。	钱被他花光了。
在挪威屠杀惨案中，85人被害。	85人在挪威屠杀惨案中被害。
他这个人没个正经的。	他一点都不正经。
新来的队友告诉我他也是从新疆建设兵团出来的。	我被新来的队友告知他也是从新疆建设兵团出来的。
我修电脑修了五百块钱。	这台电脑要修我五百块钱。
其实我们的关系并没有公开。	其实我们的关系没有公开。
我觉得佳艳的德语水平远在我之上，虽然我的考试成绩比他高。	我觉得佳艳的德语水平远在我之上，尽管我的考试成绩比他高。
老范的心里乱极了。	老范的心里非常乱。
我们通过词典把这本书翻译出来啦！	通过词典我们把这本书翻译出来啦！
你去办公室打电话叫快餐店送十二份盒饭来。	你去办公室打电话通知快餐店送十二份盒饭来。
卖了一批设备给工厂。	给工厂卖了一批设备。
一个大方的人，他不会做这种小气的事。	他是一个大方的人，不会做这种小气的事。
门前种着花。	门前有花。
这段描写固然有些夸张，但我国古代宝刀宝剑之锋利，却非虚传。	这段描写虽然有些夸张，但我国古代宝刀宝剑之锋利，却非虚传。
因为闹了一点小矛盾，彼此就不再来往了。	彼此不再来往，是因为闹了一点小矛盾。
他没往家里寄过半分钱。	他从未给家里寄钱。
少不了你的小说看。	有好多小说让你看。
他们家跑了一条狗。	他们家丢了一条狗。
由于工作的关系，我们在长沙逗留了几天。	我们在长沙逗留了几天，由于工作的关系。
你可以回到学校找师弟师妹们帮忙。	你可以回到学校找师弟师妹们让他们帮忙。
小猪让老虎叼走了。	老虎叼走了小猪。
她洗净了一件衣服。	她洗净一件衣服了。
看清楚那个人。	把那个人看清楚了。
人人都看见她了。	没有人没看见她。
一不做二不休。	事情既然做了开头，就索性做到底。
我什么时候说你欠我了？	我什么时候说过你欠我了？
中国不首先使用核武器，不管是面临核威胁或者是面临核讹诈。	无论是面临核威胁还是面临核讹诈，中国都不首先使用核武器。
不说不知道。	说了才知道。
我们老担心孩子身体。	孩子身体是我们经常担心的。
她叠好了被子。	被子被他叠好了。
他被批评了一顿。	他挨批了。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，又可以像饲养普通鸡那样进行笼养，又可以放养。
有你的钱花。	缺不了你的钱花。
他没有告诉我火车晚点了。	火车晚点了他没有告诉我。
我和老李一起完成了任务。	老李和我共同完成了任务。
桂花别提有多香。	桂花是太香了。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	必须出差回来都给她带礼物，才不会给你脸子看。
下班了，都。	都下班了。
对于家庭琐事，他从来不放在心上。	他对于家庭小事从来不上心。
现在的房子相当贵。	现在的房子很贵。
这儿的网速比家里快。	这儿的网速比家里的网速快。
这项任务得十个人。	这项任务要十个人。
这项任务得十个人。	十个人才能完成这项任务。
我们都觉得你的心态越来越年轻了。	你的心态越来越年轻了，我们都这样认为。
问个明白。	问清楚。
我们可做一件破例的事情。	我们可做一件不符合常规的事情。
树旱死了。	树给旱死了。
他三个小时没学。	他没学习都三个小时了。
我借给了小王两本小说。	小王问我借了两本小说。
这煎饼一个多少钱？	这煎饼怎么卖？
门给吹开了。	门被吹开了。
有我杨某在，你就别想翻天！	只要有我杨某在，你就别想翻天！
他一次会议都没参加。	他每次会议都没参加。
看的书都放在桌子上。	桌子上放着要看的书。
当我回家的时候，他们已经睡着了。	他们睡着以后，我才回到家。
我始终坚持认为，雷锋精神不但没有过时，而且永远不会过时。	我始终坚持认为，雷锋精神没有过时，永远不会过时。
尽管他赢得了冠军，可是没有赢得人们的尊重。	尽管他赢得了冠军，但是没有赢得人们的尊重。
每个符号对应一种意义，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。	每个符号对应一种意义，两个或几个符号的意义相同，进一步说一个符号表示几种意义的情况不存在。
他难道会介意这些事情吗？	他不会介意这些事情？
你这么做，还要不要命了？	你这么做，是不要命了？
墙头上长出了一丛杂草。	一丛杂草在墙头上长出来了。
她又租了我一间房。	她又从我这租了一间房。
钱包别给小偷偷了。	钱包别被小偷偷了。
别出声！	别说话！
别揣着明白装糊涂啦。	别再装糊涂啦。
这双鞋塑料底儿。	这双鞋是塑料底。
他的病好不了。	他的病看不好。
他一边上学，一边打工挣学费。	他上学，打工挣学费。
鲸鱼是一种哺乳动物。	哺乳动物中有一种是鲸鱼。
雷锋精神不但没有过时，而且永远不会过时。	雷锋精神不光现在没有过时，而且以后也不会过时。
大家热烈鼓掌表示庆贺。	大家为了表示庆贺，热烈鼓掌。
我给他打扫了一个地方睡觉。	我打扫了一个地方给他睡觉。
这家的热干面他每天早上都要吃一碗。	他每天早上都要吃一碗这家的热干面。
这问题让人说滥了。	这问题都说滥了。
你们明天去春游，是不是？	你们明天去春游？
小赵知道得多。	小赵知道得不少。
桌子叫人抬走了。	桌子被人抬走了。
我拿了汪老师一本书。	我不是没拿汪老师的一本书。
这是我看书的桌子。	这桌子我用来看书。
济南省城，那是大地方，不用说。	济南省城肯定是大地方。
那首歌学了我一个星期。	我学那首歌学了一个星期。
王军他如何也在这里？	王军他怎么也在这里？
我国在这一方面的法律规定与贵国的法律规定相同。	我国与贵国的法律规定在这一方面相同。
明天他们上广州。	明天他们去广州。
我下了楼，在门口买了几个大红桔子，塞在手提袋里，踏着歪斜不平的石板路，走到那小屋的门口。	我先下了楼，然后在门口买了几个大红桔子，塞在手提袋里，踏着歪斜不平的石板路，最后走到那小屋的门口。
这个问题讨论了我们半天。	我们为这个问题讨论了半天。
大海上没有波涛。	大海上没有波浪。
为这件事，我们都很高兴。	我们很高兴因为这件事。
看的很清楚。	看得很明白。
在我洗澡的时候，他在看电视。	在他在看电视的时候，我在洗澡。
他在村子里各处仔仔细细地看了个遍，这才上车。	村子里各处被先他仔仔细细地看了个遍，然后他才上车。
这本书我恰好看过。	恰好这本书我看过。
她发怔的时候你来了。	你来的时候她正在发怔。
人家让老先生亲自送来，我好意思不收下吗？	人家让老先生亲自送来，我只好收下？
有我杨某在，你就别想翻天！	只要我杨某在，你们就别想翻天！
他走过去。他倒了一杯酒。他喝了一口。	他走过去倒了一杯酒喝了一口。
他已经通知了所有人。	他已经通知了所有人。
人人都看见了。	被人人都看见了。
柜子叫小弟给翻得乱七八糟。	小弟把柜子翻得乱七八糟。
他的数学不怎么好。	他数学不是很好。
冬天过去了，春天就会来到。	冬天过去后，春天就会来了。
忙的没个空儿。	忙的么空。
少不了你的小说看。	有你的小说看。
那个瓜没十斤重。	那个瓜没到十斤。
老杨这样的大厨红烧鱼算得了什么。	红烧鱼对老杨这样的大厨来说，算不了什么。
这儿的网速比家里快。	家里的网速没这儿的网速快。
他们家平常不外出旅游。	平常他们家不外出旅游。
站着别动！	站那儿别动！
田先生毛笔字写的好。	田先生写得一手毛笔字。
不久，被雷劈中的那棵大树又长出了嫩绿的新芽。	不久，嫩绿的新芽从被雷劈中的那棵大树上长出来了。
你喜欢看电影，还是喜欢看电视剧？	你喜欢看电影，还是电视剧？
钱放在手里贬值太厉害，不如拿出去投资。	因为钱放在手里贬值太厉害，所以要拿出去投资。
这张书桌不长。	这张书桌很短。
他把车开得太快了。	他车开的太快了。
我给了她一只笔。	我将一支笔给了她。
请进！	您请进来吧！
你不以我们的祖国有着这样的英雄而自豪吗？	你应该为我们祖国有着这样的英雄而自豪？
唯有加深了解，才能相互信任与合作。	除非加深了解，要不然不可能相互信任与合作。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，既保持了经济快速发展的良好势头，也纠正了经济增长过程中的不健康因素。
老张家的房子厨房不大。	老张家的厨房不大。
本来他是不愿意告诉我们的。	本来他是不情愿告诉我们的。
塑料不腐烂分解是一大长处，因为当塑料垃圾被深埋时，他永远不会变成任何有毒的化学物质污染人类生存的环境，而且即便被焚烧，大部分塑料也不会释放出有毒气体。	塑料垃圾被深埋时，他永远不会变成任何有毒的化学物质污染人类生存的环境，而且即便被焚烧，大部分塑料也不会释放出有毒气体，因此塑料不腐烂分解是一大长处。
小赵不高。	小赵很矮。
他下午也许来不了。	他下午可能来不了。
他跑的比我快。	他比我跑得快。
这是一封向他问好的信。	这封信是向他问好的。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，可以像饲养普通鸡那样进行笼养，可以放养。
唯有加深了解，才能相互信任与合作。	想要相互信任与合作，只能加深了解。
西兰花菜农已经收割完毕。	菜农已经收割完了西兰花。
这个学生我教过他数学。	这个学生上过我的数学课。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员是未来做主角的必经之路，是在北京生存的打工方式之一。
小明打碎了一个杯子。	小明把一个杯子打碎了。
你为什么不答应他？	不答应他，你为什么？
我一定把驾驶执照考下来，只要你给我时间。	如果你给我时间，那么我一定把驾驶执照考下来。
同学们一人一个笔记本电脑。	同学们人手一台笔记本电脑。
眼睛看坏了。	眼睛被看坏了。
我才不干呢。	我不干，哼。
真不像话！	真是不像话！
新的已经卖完了。	没有新的还没有卖了。
输了也高兴。	即便输了也高兴。
济南省城，那是大地方，不用说。	济南省城不用说那是大地方。
这箱子轻不了。	这箱子不轻。
安静！	安静下来！
他一下班就走了。	他下班就走了。
大家热烈鼓掌表示庆贺。	大家热烈鼓掌然后表示庆贺。
他最常去那里。	那里是他最常去的地方。
不管你说什么，他总是听不进去。	不管你说什么，他还是听不进去。
一旦有机会，就要全力以赴。	只要有机会，就要全力以赴。
你要包子，油条，还是煎饼呢？	你要煎饼、包子，还是油条？
我深知老师的心理压力比我们还大。	我深知老师的心理压力要比我们大。
小赵没一米八高。	小赵不到一米八。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，故彼此就不再来往了。
他是才来的，岂有个为他疏你的。	他是才来的，肯定不可能因为他而疏远你的。
她坚决不去，除非你陪她去。	除非你陪她去，否则她坚决不去。
请大家安静一点。	请大家不要喧闹。
不到黄河心不死。	没到黄河心不死。
你要包子，油条，还是煎饼呢？	包子油条煎饼你要哪个？
渔民的光景，一年更比一年强。	渔民的光景是芝麻开花节节高。
他逃脱不了法律的制裁，尽管他爸爸是李刚。	他逃脱不了法律的制裁，尽管李刚是他爸爸。
他爸爸嘛，从早到晚都不沾家。	他爸爸从早到晚都不沾家。
下课后，大伙有的在踢毽子，有的在打乒乓球，还有的在跑步，都在积极的锻炼身体。	下课后，大伙有的在跑步，有的在踢毽子，还有的在打乒乓球，都在积极的锻炼身体。
把纸撕了一半。	纸被撕了一半。
不成也值。	即使不成也值。
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	在悬崖峭壁间开辟出一条路来尚且不易，更别说修建寺庙！
这让他没了面子，而且还给他带来了不小的经济损失。	这让他没了面子，更给他带来了不小的经济损失。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不光是未来做主角的必经之路，也是在北京生存的打工方式之一。
倘或他有个好和歹。	倘若他有个好歹。
老林被他说服了。	他把老林说服了。
你再磨蹭就迟到了。	你别磨蹭了快迟到了。
老雷一个字也没有透漏。	一个字也没有被老雷透漏。
我从小王那儿借了两本小说。	我借了小王两本小说。
他有两个儿子，一个是记者，一个是公务员。	他有两个儿子，一个记者，一个公务员。
太棒了！	非常棒！
资金感到不足。	感到资金匮乏。
我一定把驾驶执照考下来，只要你给我时间。	只要你给我时间，我一定把驾驶执照考下来。
这间房子将能容纳十个人。	这个房间的容量是十个人。
不管你说什么，他总是听不进去。	任凭你说什么，他还是听不进去。
唐代有个诗人。这个诗人叫李白。	唐代有个诗人叫李白。
这孩子不活泼。	这孩子比较内向。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不但是未来做主角的必经之路，更是在北京生存的打工方式之一。
他看了一场电影。	他看了五场电影。
他讲了至多十分钟。	他最多讲了十分钟。
我给了她一只笔。	她用了我一支笔。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，既谴责美国对伊拉克的军事占领，又主动向美国控制下的伊拉克临时管理委员会示好。
你要包子，油条，还是煎饼呢？	你要包子、煎饼，还是油条？
他们都在说笑小王。	小王被他们说笑。
嘴干死了。	嘴非常干。
他四天没上课。	他都四天没有上课了。
好办哪，这事儿！	这事儿好办！
这两天闷的慌。	这两天很闷。
他乐坏了。	他高兴的不得了。
她不学英语。	她英语不学。
大家都称他为小诸葛。	大家都叫他小诸葛。
吃一点是一点。	吃一口算一口。
他下午也许来不了。	可能他下午来不了。
我们在哪些地方做的不对，或者不够令人满意？	我们在哪些地方做的不对？
翻跟头他不行。	他翻跟头不行。
我喝酒喝了半个月的工资。	这瓶酒要喝我三个月的工资。
我写好信的时候她已经睡着了。	我信写好的时候她已经睡着了。
下雨的季节。	这个季节比较爱下雨。
她坚决不去，除非你陪她去。	她坚决不去，只有你陪她去。
千万别大意！	千万不能大意！
他一句话没说。	他没说一句话。
既然情况都了解清楚了，为什么却还要死抓住人家这些小问题不放呢？	既然情况都了解清楚了，为什么还死抓住人家这些小问题不放呢？
他偷了小王一辆自行车。	他把小王的一辆自行车偷了。
他问我会议什么时候结束。	他问我会议结束的时间。
那东西闻着都恶心。	闻着那东西恶心。
她在教室里朝我笑了笑。	在教室里她朝我笑了笑。
倘若来不及逃跑，它就会使出装死的伎俩。	倘若来不及逃跑，那么它会使出装死的伎俩。
老兄！	伙计！
这种巧克力酒心的。	这种是酒心巧克力。
在我洗澡的时候，他在看电视。	当我洗澡的时候，他在看电视。
对于工作，他一向很认真。	他对于工作一向很认真。
少不了你的小说看。	小说有你看的。
同学们一人一个笔记本电脑。	笔记本电脑每个同学都有一台。
想走就走呗，又不是没你不行。	想走就走，没你也能行。
他不看电影。	他电影没看。
他买了王教授一本书。	王教授的书被他买了。
这位先生对自己的业务很熟悉。	对自己的业务这位先生很熟悉。
冬至以来，这里不是下雨就是下雪。	冬至以来，这里或者下雨，或者下雪。
再给你我拿瓶啤酒！	再拿瓶啤酒给咱俩！
我没去，我怎么知道她在不在场呢？	我没去，我不知道她在不在场？
这让他没了面子，而且还给他带来了不小的经济损失。	这让他没了面子，并且还给他带来了不小的经济损失。
他走过去。他倒了一杯酒。他喝了一口。	他走过去倒了一杯酒然后喝了一口。
石头上刻着诗歌。	石头上刻有诗歌。
小明替妈妈做饭。	小明代妈妈做饭。
他的数学不怎么好。	他的数学不好。
咱俩谁跟谁呀。	咱哥俩谁跟谁呀。
咱俩谁跟谁呀。	我们俩谁跟谁呀。
如果说过去还有点糊涂，那么今天却已经是完全清醒了。	如果说过去还有点糊涂，那么今天已经是完全清醒了。
你忘了？	难道你忘了？
中间有一间小屋子。	在中间有一间小屋子。
我要有外心，立刻就化成灰，叫万人践踹。	我若有外心，立刻就化成灰，叫万人践踹。
下雨的季节。	下雨季节。
他把桌子擦干净了。	桌子被他擦干净了。
一分钱他都不愿意多花。	一点钱他都不愿意多花。
对方的后卫把球踢进了自家的球门。	球被对方的后卫踢进了自家的球门。
出门在外没个不累的。	出门在外没有人不累。
小赵不高。	小赵个子一般。
别出声！	不许说话！
学校里调来了一位女教师。	一位女教师被调到学校。
小孙收入微薄，而且上有父母，下有子女，家庭负担不轻，但是，为人慷慨大方，经常帮助比他更困难的朋友。	小孙收入微薄，而且上有老下有小，家庭负担不轻，但是，为人慷慨大方，经常帮助比他更困难的朋友。
他知道这事吗？当然知道，只不过他不说而已。	虽然他不说，但他肯定知道这个事。
詹先生虽然可以给她带来物质上的富足，却无法给她带来真正的幸福。	詹先生虽然可以给她带来富足的物质，却无法给她带来真正的幸福。
不管荤的、素的都没个完。	不管荤的、素的都没完没了。
渐渐地，我们了解了他的脾气。	我们渐渐地了解了他的脾气。
他跑的比我快。	我比他跑得慢。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，也可以像饲养普通鸡那样笼养，也可以放养。
我们春天常去旅游。	春天我们常去旅游。
我们仍然没有收到回信。	我们依然没有收到回信。
您是上海人吧？	难道您不是上海人？
还有没有商量的余地啊？	还有没有商量的空间啊？
他们都在说笑小王。	小王都在被他们说笑。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，以致彼此就不再来往了。
一个女孩家，只管拿着诗作正经事讲起来，叫有学问的人听了，反笑话说不守本分。	一个女孩家，只管拿着诗作正经事讲起来，被有学问的人听了，反笑话说不守本分。
您是上海人吧？	你应该是上海人吧？
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球又绕着太阳公转，同时又绕着他自己的地轴不停的自转。
这孩子啊，竟然认不出他妈妈。	这孩子竟然认不出她妈妈。
她的认真感动了我们。	我们被她的认真感动了。
无论遇到什么困难，我们都不能自乱阵脚。	不管遇到什么困难，我们都不能自乱阵脚。
他，酒呢，早不喝了，烟还抽。	他早就不喝酒了但还抽烟。
他卖了我一只小狗。	我的这只小狗是他卖给我的。
非说不可。	一定要说。
这部电影遭极了，没看头儿。	这部电影没意思，没看头。
为人民服务！	服务人民！
这位先生对自己的业务很熟悉。	他对自己的业务很熟悉。
他有两个儿子，一个是记者，一个是公务员。	他有两个儿子，一个是公务员，一个是记者。
中国不首先使用核武器，不管是面临核威胁或者是面临核讹诈。	不管是面临核威胁还是面临核讹诈，中国都不首先使用核武器。
我给了她一只笔。	她从我这拿了一支笔。
这幅画花了我一个多月。	这幅画我画了一个多月。
千万别大意！	一定不要大意！
他有的是力气。	他力气大。
少不了你的小说看。	小说有的是让你看。
这个大男孩，宁可静静的坐着观察蚁群，也不愿去跟伙伴们爬树。	这个大男孩，宁静静的坐着观察蚁群，也不愿去跟伙伴们爬树。
小猪让老虎叼走了。	小猪被老虎叼走了。
还了他五十块钱。	还给了他五十块钱。
你真的要放弃？	你要放弃？
就是在她叠好被子的时候。	在她叠好被子的时候。
累得她气都喘不上来。	她累得气都喘不上来。
约翰偷了一辆自行车给玛丽。	约翰给玛丽偷了一辆自行车。
举起手来！	把举起手来！
作家的责任不是用虚构的故事去迎合读者的趣味，而是要探索现实，批评现实。	作家的责任是要探索现实，批评现实，而不是用虚构的故事去迎合读者的趣味。
倘或他有个好和歹。	他若有个好歹。
既然情况都了解清楚了，为什么却还要死抓住人家这些小问题不放呢？	既然情况都了解清楚了，为何还要死抓住人家这些小问题不放呢？
杯子被打破了。	打碎了杯子。
今天比较冷。	今天非常冷。
老兄！	朋友！
这问题让人说滥了。	这个问题说的太多了。
小孙收入微薄，而且上有父母，下有子女，家庭负担不轻，但是，为人慷慨大方，经常帮助比他更困难的朋友。	小孙收入微薄，上有老下有小，家庭负担不轻，但是，为人慷慨大方，经常帮助比他更困难的朋友。
年轻时我也漂亮过。	年轻的时候我也很漂亮。
小王被领导批评的时候，他还在笑呢。	小王还笑被领导批评的时候。
我给了她一只笔。	我送了她一支笔。
我写好了信。	我把信写好了。
没你这么干的。	你这么干是与所有人背道而驰的。
得一个奖乐半天。	得一个奖乐半天。
小红哭湿了枕头。	小红把枕头哭湿了。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	风的速度遇到防护林就减少了百分之七十到八十。到了距离为林木高度二十倍的地方，风速又恢复原来的强度。以致于防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
新的已经卖完了。	没有新的了可以卖了。
门前种着花。	花种在门前。
回家过年太麻烦了，何况我还没在广州过过春节。	回家过年太麻烦了，况且我还没在广州过过春节。
衣服难看死了。	这衣服好丑。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不仅可以帮助人家解一时的燃眉之急，更可以借机先锻炼一下自己。
他没犯一点错误。	错误他一点都没犯。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不仅大家伙都省事，你自己也可以少跑两趟嘛。
屋里连一个人也没有。	屋里是空的。
你这么做，还要不要命了？	你这么做，会丧命的！
她的漂亮打动了每一个人。	她的漂亮令我们每一个人为之打动。
他的病好不了。	他的病不能好了。
下课后，大伙有的在踢毽子，有的在打乒乓球，还有的在跑步，都在积极的锻炼身体。	下课后，大伙有的在跑步，有的在打乒乓球，还有的在踢毽子，都在积极的锻炼身体。
凡是学校的事儿，没他不管的。	学校事他都管。
没留下一点后遗症。	后遗症一点都没留下。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不光是未来做主角的必经之路，还是在北京生存的打工方式之一。
我国在这一方面的法律规定与贵国的法律规定相同。	我国与贵国在这一方面的法律规定相同。
那个教练高高的鼻子。	那个教练有高高的鼻子。
他在我洗澡的时候把电视机修好了。	在我洗澡的时候，他把电视机修好了。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不仅可以帮助人家解一时的燃眉之急，也可以借机先锻炼一下自己。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，于是彼此就不再来往了。
他们厂上个月从欧洲购进了一批先进的设备。	上个月他们厂从欧洲购进了一批先进的设备。
这两个问题相同。	相同的两个问题。
长痱子的小孩儿。	这个小孩儿长痱子了。
他北京话说的很好？	他说北京话说的很好？
请大家安静一点。	请大家保持安静。
杯子是空的。	杯子空空如也。
这瓶酒喝了我半个月的工资。	喝这瓶酒花了我半个月的工资。
这个问题让人说滥了。	这个问题叫人说烂了。
方法始终不变。	方法一直没有变。
不管我们如何好说歹说，他却仍然是无动于衷。	不论我们如何好说歹说，他却仍然是无动于衷。
你不觉得我们的战士很可爱吗？	你不认为我们的战士很可爱吗？
这双鞋塑料底儿。	这是双塑料底的鞋。
度假我们去海南，还是去马尔代夫？	度假我们去马尔代夫，还是去海南？
用的放在桌子上，不用的放在一边。	不用的放在一边，用的放在桌子上。
它的宽大的叶子也是片片向上，几乎没有斜生的，更不用说倒垂了。	它的叶子是宽大且片片向上，几乎没有斜生的，更不用说倒垂了。
丽丽哭红了眼睛。	丽丽不停地哭，眼睛都红了。
烦死了！	烦的要死！
花丛中飞着几只蝴蝶。	几只蝴蝶在花丛中飞着。
她看花了眼睛。	她眼睛看花了。
我是中大的学生，他是中大的老师。	他是中大的老师，我是中大的学生。
干脆，我来个抽羊角风！	我干脆来个抽羊角风！
我们不欢迎撒谎的人。	我不喜欢撒谎的人。
最近，妈妈一直被失眠所困扰。	妈妈最近一直被失眠困扰。
我一定把驾驶执照考下来，只要你给我时间。	只要你给我时间，那么我一定把驾驶执照考下来。
我昨天写好了一封信。	昨天我写好了一封信。
我冲着他笑了笑，然后继续唱歌。	我冲着他笑了笑，又继续唱歌。
我一定把驾驶执照考下来，只要你给我时间。	你给我时间，我便一定把驾驶执照考下来。
他看了一场电影。	他看了好几场电影。
卖了一批设备给工厂。	卖给工厂一批设备。
只要她一去接电话，孩子就会大哭大闹。	一旦她去接电话，孩子就大哭大闹。
不管荤的、素的都没个完。	荤素都上太多了。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	除非每次出差回来都给她带礼物，否则就一定给你脸子看。
姐姐比我多吃了不少苦。	姐姐吃的苦比我多。
一旦有机会，就要全力以赴。	一旦有机会，便要全力以赴。
小明跟爸爸一起去看电影。	爸爸和小明一起去看电影。
真不像话！	太不像话了！
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不但可以帮助人家解一时的燃眉之急，也可以借机先锻炼一下自己。
他高兴坏了。	他非常高兴。
